team,date,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls
LOS ANGELES LAKERS,2018-03-07,240,43,88,11,33,11,12,7,32,27,7,3,14,16
HOUSTON ROCKETS,2018-03-07,240,39,82,14,40,18,27,12,35,22,9,5,16,21
MILWAUKEE BUCKS,2018-03-07,240,38,83,9,28,14,19,6,32,21,9,3,13,22
NEW ORLEANS PELICANS,2018-03-07,240,47,83,11,26,9,9,5,35,26,6,7,16,22
SACRAMENTO KINGS,2018-03-07,240,39,93,9,28,14,17,14,25,20,4,5,9,16
BROOKLYN NETS,2018-03-08,240,47,92,11,32,20,22,9,34,30,7,7,10,27
CHARLOTTE HORNETS,2018-03-08,240,41,85,4,19,25,30,6,30,19,5,5,13,21
SAN ANTONIO SPURS,2018-03-08,240,43,95,6,22,15,18,10,35,29,7,3,12,20
GOLDEN STATE WARRIORS,2018-03-08,240,41,95,8,30,20,23,12,37,30,6,12,10,18
PHILADELPHIA 76ERS,2018-03-08,240,34,86,15,37,16,21,9,37,28,9,4,18,20
MIAMI HEAT,2018-03-08,240,42,89,14,26,10,18,6,43,26,10,8,14,20
BOSTON CELTICS,2018-03-08,240,43,87,11,32,20,27,9,37,28,7,2,11,17
MINNESOTA TIMBERWOLVES,2018-03-08,240,44,94,12,31,9,13,13,34,24,3,3,12,22
PHOENIX SUNS,2018-03-08,240,31,92,9,37,16,18,7,36,15,9,4,13,25
OKLAHOMA CITY THUNDER,2018-03-08,240,42,80,13,33,18,27,6,43,21,6,11,18,20
LOS ANGELES LAKERS,2018-03-09,240,45,92,14,35,12,16,12,32,25,8,6,15,23
DENVER NUGGETS,2018-03-09,240,42,83,15,31,26,30,7,29,30,10,6,12,16
CHICAGO BULLS,2018-03-09,240,33,93,9,31,8,10,10,32,19,11,0,13,19
DETROIT PISTONS,2018-03-09,240,38,81,9,27,14,18,11,39,22,8,9,16,13
ATLANTA HAWKS,2018-03-09,240,34,82,10,33,9,10,6,29,21,11,4,18,13
INDIANA PACERS,2018-03-09,240,45,91,14,28,8,10,9,40,21,11,3,16,16
CLEVELAND CAVALIERS,2018-03-09,240,39,87,12,36,12,18,8,32,22,10,7,12,28
LOS ANGELES CLIPPERS,2018-03-09,240,43,89,11,28,19,30,13,39,25,6,3,13,16
UTAH JAZZ,2018-03-09,240,33,74,13,32,16,22,8,40,26,10,8,17,17
MEMPHIS GRIZZLIES,2018-03-09,240,31,83,6,22,10,14,10,29,16,4,5,15,22
NEW YORK KNICKS,2018-03-09,240,47,98,7,28,11,14,11,28,24,6,5,11,26
MILWAUKEE BUCKS,2018-03-09,240,41,73,8,18,30,39,6,36,29,8,6,14,16
WASHINGTON WIZARDS,2018-03-09,240,46,96,9,26,15,20,10,39,34,10,4,12,16
NEW ORLEANS PELICANS,2018-03-09,240,38,82,6,20,15,18,2,36,23,3,10,15,18
GOLDEN STATE WARRIORS,2018-03-09,240,38,78,12,28,20,24,6,27,20,5,3,10,20
PORTLAND TRAIL BLAZERS,2018-03-09,240,44,89,16,39,21,27,14,32,21,4,2,11,17
