team,date,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,true_shooting_percentage,effective_field_goal_percentage,3_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,useage_percentage,offensive_rating,defensive_rating
GOLDEN STATE WARRIORS,2014-11-01,240,46,83,11,23,24,28,12,31,30,10,4,20,26,0.666,0.62,0.277,0.337,37.5,64.6,53.8,65.2,9.9,5.4,17.3,100,126,103.2
BOSTON CELTICS,2014-11-01,240,37,98,1,25,15,18,14,30,20,10,8,10,26,0.425,0.383,0.255,0.184,26.4,75,47.3,54.1,10.2,19,8.6,100,92.2,106.6
HOUSTON ROCKETS,2014-11-01,240,32,76,12,34,28,40,10,39,20,9,8,17,24,0.556,0.5,0.447,0.526,25,73.6,52.7,62.5,9.2,11,15.4,100,106.6,92.2
CHICAGO BULLS,2014-11-01,240,33,69,9,23,31,40,5,33,15,3,8,14,24,0.612,0.543,0.333,0.58,14.7,71.7,47.5,45.5,3.2,11,13.9,100,113.7,112.6
MINNESOTA TIMBERWOLVES,2014-11-01,240,38,85,4,12,25,31,13,29,26,9,4,10,29,0.532,0.471,0.141,0.365,28.3,85.3,52.5,68.4,9.7,8.7,9.2,100,112.6,113.7
DALLAS MAVERICKS,2014-11-01,240,46,89,6,25,11,19,11,33,25,4,6,12,25,0.56,0.551,0.281,0.213,25,70.2,48.4,54.3,4.1,8.6,11,100,112.3,107.2
NEW ORLEANS PELICANS,2014-11-01,240,38,89,7,19,21,28,14,33,24,8,4,13,19,0.513,0.466,0.213,0.315,29.8,75,51.6,63.2,8.2,6.3,11.4,100,107.2,112.3
DENVER NUGGETS,2014-11-01,240,35,80,7,26,14,20,11,30,19,4,10,17,26,0.512,0.481,0.325,0.25,23.9,83.3,50,54.3,4.2,16.7,16.1,100,95.2,106.7
OKLAHOMA CITY THUNDER,2014-11-01,240,37,80,6,20,22,31,6,35,24,8,6,13,20,0.545,0.5,0.25,0.388,16.7,76.1,50,64.9,8.4,11.1,12.2,100,106.7,95.2
TORONTO RAPTORS,2014-11-01,240,33,83,4,21,38,48,15,35,13,4,4,7,21,0.519,0.422,0.253,0.578,32.6,79.5,55.6,39.4,4.3,6.6,6.3,100,115.5,101.6
ORLANDO MAGIC,2014-11-01,240,38,81,7,20,12,24,9,31,25,3,7,14,37,0.519,0.512,0.247,0.296,20.5,67.4,44.4,65.8,3.2,11.3,13.3,100,101.6,115.5
MIAMI HEAT,2014-11-01,240,41,83,12,24,20,29,9,26,33,16,0,16,20,0.595,0.566,0.289,0.349,21.4,86.7,48.6,80.5,16.2,0,14.3,100,115.3,97.1
PHILADELPHIA 76ERS,2014-11-01,240,35,67,7,23,19,26,4,33,28,9,10,24,21,0.612,0.575,0.343,0.388,13.3,78.6,51.4,80,9.1,16.9,23.4,100,97.1,115.3
PHOENIX SUNS,2014-11-01,240,36,87,7,31,12,15,6,28,17,8,7,11,22,0.486,0.454,0.356,0.172,13.3,68.3,39.5,47.2,8.2,11.3,10.5,100,93.2,120.8
